t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,781.335156190103,21.0,16.7019817721142,16.7019817721142,16.7019817721142,16.7019817721142,766.426221625677,766.426221625677,766.426221625677,766.426221625677,0.890312946062664,18.1328234171985,2.94958152998578,321.257377528735,0.212573775287348,0.00709275,102.034275,20.2667767596451,0.0141342731202717,17.7087342228081,2426.00909290235,708.015133604158,0.0514587324303288,0.0121655720513328,27.1469161577224,-3.58235605564256,0.402750080510362,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
1,782.809775523502,21.1185713274558,16.7315907745364,16.7315907745364,16.7315907745364,16.7315907745364,755.683585792184,755.683585792184,755.683585792184,755.683585792184,0.891078273496698,18.1843476396134,2.90860112267623,321.435133610402,0.214351336104018,0.0072743309208085,101.956096091845,20.2201333819833,0.0141523484264577,17.7481630029903,2426.00909290235,708.015133604158,0.0514696182687169,0.0122115357235457,27.1467141464061,-3.55438252713758,0.403510193568816,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
2,785.434398153777,21.2369736613152,16.7606436807674,16.7606436807674,16.7606436807674,16.7606436807674,735.837151032338,735.837151032338,735.837151032338,735.837151032338,0.89244045264181,18.2345410649174,2.83371101717212,321.64510017538,0.216451001753795,0.0074575498859502,101.878155169758,20.1735458777975,0.0141911972063394,17.7865904215941,2426.00909290235,708.015133604158,0.0514891405895841,0.012293559234573,27.1465144972401,-3.504571762899,0.404863091831844,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
3,788.273875248846,21.3552079237492,16.7889861112419,16.7889861112419,16.7889861112419,16.7889861112419,714.347374213913,714.347374213913,714.347374213913,714.347374213913,0.893914141254151,18.2830776929476,2.75250141569073,321.861948447619,0.218619484476187,0.0076424049443008,101.80045199492,20.1270142907416,0.014233895914693,17.8238634268977,2426.00909290235,708.015133604158,0.0515104741076042,0.0123826064618949,27.1463178134056,-3.45068015577231,0.406326739818993,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
4,791.145932883517,21.4732750355294,16.8165896991066,16.8165896991066,16.8165896991066,16.8165896991066,692.664707208731,692.664707208731,692.664707208731,692.664707208731,0.895404739166545,18.329900733795,2.67034936719927,322.080704532809,0.220807045328091,0.0078288941462934,101.722986328682,20.0805386643024,0.0142771484533235,17.8599584157791,2426.00909290235,708.015133604158,0.0515322790771961,0.0124730023206132,27.1461242024406,-3.39616872794649,0.40780718189872,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
5,794.015227472886,21.5911759160293,16.8434507478612,16.8434507478612,16.8434507478612,16.8434507478612,671.068484832338,671.068484832338,671.068484832338,671.068484832338,0.896893903058428,18.3750060884749,2.5882972995841,322.300392970551,0.223003929705514,0.008017015543916,101.645757932572,20.0341190417994,0.0143203166120049,17.8948770862003,2426.00909290235,708.015133604158,0.0515542921336389,0.012563639496602,27.1459336754229,-3.34170860933908,0.409286199728292,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
6,796.875002233504,21.7089114832261,16.869570333026,16.869570333026,16.869570333026,16.869570333026,649.610907715571,649.610907715571,649.610907715571,649.610907715571,0.898378126159189,18.418399827024,2.50654438950902,322.520821347101,0.225208213471012,0.0082067671907112,101.568766568287,19.9877554663842,0.0143632789784544,17.9286259886714,2426.00909290235,708.015133604158,0.0515764613987386,0.0126543024468191,27.1457462248003,-3.28742812340998,0.410760310429641,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
7,799.724039033178,21.8264826537016,16.8949504408983,16.8949504408983,16.8949504408983,16.8949504408983,628.300339734893,628.300339734893,628.300339734893,628.300339734893,0.89985677625822,18.460089937165,2.42512645396094,322.741950000684,0.227419500006844,0.0083981471417754,101.492011997702,19.9414479810393,0.0144060142025504,17.9612125586417,2426.00909290235,708.015133604158,0.051598776412912,0.0127449490901173,27.1455618395108,-3.23335042462342,0.412228886099576,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
8,803.266759990331,22.0076390106107,16.9199212617925,16.9199212617925,16.9199212617925,16.9199212617925,625.311890941501,625.311890941501,625.311890941501,625.311890941501,0.901695448434982,18.5007708933381,2.42250628384134,323.050669373736,0.230506693737361,0.0087942220605076,101.435800843537,19.9011930733958,0.0144638042828953,17.9929808473969,2426.00909290235,708.015133604158,0.0516268456274,0.0128581176474392,27.1453807508969,-3.16609922939869,0.414055030922851,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
9,807.860480339956,22.2153563870047,16.9449625491448,16.9449625491448,16.9449625491448,16.9449625491448,623.787221001294,623.787221001294,623.787221001294,623.787221001294,0.904079589296437,18.5414404339829,2.42927431042644,323.419912504767,0.234199125047671,0.0092774105585238,101.388374923352,19.8635264576062,0.0145415877557076,18.0244272422063,2426.00909290235,708.015133604158,0.0516637758841036,0.0130056041229495,27.1452041074781,-3.07888906116897,0.416422928010287,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
10,812.894417726076,22.4325628600802,16.9700837198327,16.9700837198327,16.9700837198327,16.9700837198327,622.064796974124,622.064796974124,622.064796974124,622.064796974124,0.906692202799833,18.5821110976597,2.43651838881371,323.81512758726,0.238151275872605,0.0097934320619364,101.344306136175,19.8268473984372,0.0146276703863039,18.055564902488,2426.00909290235,708.015133604158,0.0517049439534752,0.0131681900514843,27.1450326675519,-2.98331779135737,0.419017741095915,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
11,818.109692827725,22.6542631704744,16.9952870777494,16.9952870777494,16.9952870777494,16.9952870777494,620.286653876541,620.286653876541,620.286653876541,620.286653876541,0.909398930577589,18.6227843621649,2.44401148511166,324.223928336398,0.242239283363983,0.0103263999558141,101.302005776946,19.7906874259258,0.0147171887047064,18.0863996309402,2426.00909290235,708.015133604158,0.0517483737723045,0.0133376980052079,27.1448667450045,-2.88430123841452,0.421706027230786,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
12,823.398649392055,22.8783676358048,17.0205735261643,17.0205735261643,17.0205735261643,17.0205735261643,618.510698470619,618.510698470619,618.510698470619,618.510698470619,0.912143899034476,18.6634603985135,2.45165840261219,324.641121106717,0.246411211067168,0.0108696634779546,101.260808725899,19.7548504456805,0.014808120865744,18.1169357473917,2426.00909290235,708.015133604158,0.0517932353448406,0.0135107078824927,27.144706468493,-2.78388372284124,0.424432293501059,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
13,828.716623386229,23.1040036500969,17.0459433867293,17.0459433867293,17.0459433867293,17.0459433867293,616.760195196544,616.760195196544,616.760195196544,616.760195196544,0.914903927537453,18.7041388402201,2.45941943373099,325.0645395721,0.250645395721001,0.0114204434141301,101.220437018081,19.7192545928943,0.0148996288042509,18.1471769347692,2426.00909290235,708.015133604158,0.0518391828278962,0.0136857910353785,27.1445518897175,-2.682913429055,0.427173517209397,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
14,834.045138404108,23.3308074010122,17.0713967440457,17.0713967440457,17.0713967440457,17.0713967440457,615.044212309664,615.044212309664,615.044212309664,615.044212309664,0.917669426831732,18.7448191048546,2.46727820060843,325.49329020589,0.254932902058899,0.0119775802049409,101.180774654038,19.6838658099756,0.0149913666749741,18.177126595193,2426.00909290235,708.015133604158,0.0518860751595047,0.0138623517289735,27.1444030284898,-2.58174127061625,0.429920174435107,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
15,839.376574396031,23.5586271798196,17.0969335903391,17.0969335903391,17.0969335903391,17.0969335903391,613.366028368871,613.366028368871,613.366028368871,613.366028368871,0.92043644211154,18.7855005282013,2.47522810945801,325.927013270969,0.259270132709692,0.0125405899441754,101.141773199656,19.6486699894392,0.0150831927335288,18.2067879996783,2426.00909290235,708.015133604158,0.0519338577481662,0.0140401417587845,27.1442598914469,-2.48051201070596,0.432668337317542,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
16,844.707797943641,23.7873994292378,17.1225538860079,17.1225538860079,17.1225538860079,17.1225538860079,611.726574577998,611.726574577998,611.726574577998,611.726574577998,0.92320334713275,18.8261824200427,2.48326665705785,326.365572199098,0.263655721990977,0.0131092696931149,101.103412317585,19.613661321926,0.0151750496049217,18.2361643509704,2426.00909290235,708.015133604158,0.0519825124064102,0.0142190574962827,27.144122479799,-2.37928521562874,0.435416390692598,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
17,850.03752402136,24.0170971207319,17.1482575848545,17.1482575848545,17.1482575848545,17.1482575848545,610.125839074281,610.125839074281,610.125839074281,610.125839074281,0.925969474967086,18.8668640872408,2.49139304470126,326.808923415245,0.268089234152451,0.0136835329813577,101.065683317328,19.5788374378279,0.0152669146803947,18.2652588099106,2426.00909290235,708.015133604158,0.0520320362152041,0.0143990552711041,27.1439907925279,-2.27808535217538,0.438163672175959,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0084048721121839,259.282135704932,NONE
