t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,920.584617046249,23.25091285153,16.97410447985,16.97410447985,16.97410447985,16.97410447985,526.720301801431,526.720301801431,526.720301801431,526.720301801431,0.481291708123502,18.5548335843812,2.39920526400434,321.779435962838,0.217794359628382,0.0142200545212897,102.747005452129,15.0716230639278,0.0170718780413574,16.6569795377102,3279.11036008144,1.31014842267997,0.05,0.0,27.1539183505645,-0.938054189989392,0.474528153116623,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
1,927.555330477517,23.7567382476055,16.9956599682361,16.9956599682361,16.9956599682361,16.9956599682361,525.494224733998,525.494224733998,525.494224733998,525.494224733998,0.483100608258916,18.5925929723452,2.41131669341655,322.44019904661,0.224401990466103,0.0150197178800225,102.728424130604,15.0415636154347,0.0171998302390372,16.6729449948361,3279.11036008144,1.31014842267997,0.05,0.0,27.153868020628,-0.805730351695197,0.478121304369854,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
2,941.229148898758,24.3954030743191,17.0173443703606,17.0173443703606,17.0173443703606,17.0173443703606,521.733177069103,521.733177069103,521.733177069103,521.733177069103,0.486648964139228,18.6303264084089,2.42895083115691,323.402264450817,0.234022644508174,0.0162474540091847,102.752727711653,15.023815599435,0.0174585906948553,16.6887598096807,3279.11036008144,1.31014842267997,0.05,0.0,27.1538294872665,-0.546160003919577,0.485169664380803,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
3,956.864379515666,25.0801592219141,17.0391892603605,17.0391892603605,17.0391892603605,17.0391892603605,517.435253699883,517.435253699883,517.435253699883,517.435253699883,0.490706306484315,18.668047103085,2.44867969296743,324.478611686603,0.244786116866025,0.0176288731808153,102.792477175691,15.0105029811954,0.0177562903743102,16.7044580044672,3279.11036008144,1.31014842267997,0.05,0.0,27.1538069002174,-0.249355032201115,0.493229061606013,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
4,973.064691073705,25.785023179325,17.0612077379777,17.0612077379777,17.0612077379777,17.0612077379777,513.169847359902,513.169847359902,513.169847359902,513.169847359902,0.494910287333626,18.7057585197678,2.46947630075314,325.61321192451,0.256132119245101,0.0190817367181019,102.839448608269,14.9992639861907,0.0180658712547458,16.7200545045583,3279.11036008144,1.31014842267997,0.05,0.0,27.1538014685444,0.0581774035833717,0.501579737666858,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
5,989.420480841349,26.5022349076377,17.083407371509,17.083407371509,17.083407371509,17.083407371509,509.090108793896,509.090108793896,509.090108793896,509.090108793896,0.49915461477833,18.7434612515389,2.49103631744748,326.789461451488,0.267894614514877,0.0205814766252707,102.891185163062,14.9893925023538,0.0183794030493119,16.735558484956,3279.11036008144,1.31014842267997,0.05,0.0,27.1538135355168,0.368661187189129,0.510010557134716,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
6,1005.81311331381,27.2294987521796,17.105794122738,17.105794122738,17.105794122738,17.105794122738,505.2310383249,505.2310383249,505.2310383249,505.2310383249,0.503408502904935,18.7811550412333,2.51327488314678,328.002730566967,0.280027305669668,0.0221208301966477,102.946960522773,14.9806791824712,0.0186946049183059,16.7509774175198,3279.11036008144,1.31014842267997,0.05,0.0,27.1538431916187,0.679843643393753,0.518460367687533,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
7,1022.20877453668,27.9661388554252,17.1283735353599,17.1283735353599,17.1283735353599,17.1283735353599,501.595015408698,501.595015408698,501.595015408698,501.595015408698,0.507663176992269,18.818839376455,2.53617318071971,329.251992664979,0.292519926649791,0.0236976673254481,103.006561630015,14.9730619390148,0.0190108460941829,16.7663182962867,3279.11036008144,1.31014842267997,0.05,0.0,27.1538904545663,0.991082272241102,0.526911739451898,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
8,1038.59802580969,28.71195289437,17.1511510905431,17.1511510905431,17.1511510905431,17.1511510905431,498.175859286745,498.175859286745,498.175859286745,498.175859286745,0.511916187697614,18.8565136629732,2.55973198230397,330.53728987103,0.305372898710302,0.0253113583361929,103.06992547055,14.9665216682588,0.01932797093773,16.781588003965,3279.11036008144,1.31014842267997,0.05,0.0,27.153955321493,1.30219729316588,0.535359807118395,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
9,1054.97833381621,29.4668753269969,17.1741323116748,17.1741323116748,17.1741323116748,17.1741323116748,494.965463946474,494.965463946474,494.965463946474,494.965463946474,0.516166877625306,18.8941772745854,2.58395778136657,331.858976449108,0.318589764491078,0.0269617060827014,103.13703228309,14.9610515978546,0.0196459586586607,16.7967934198054,3279.11036008144,1.31014842267997,0.05,0.0,27.1540377838598,1.61314001263383,0.543803264853715,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020240659599928,3924.42711162203,NONE
