t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,886.599953602118,22.6165324672395,17.1736391295887,17.1736391295887,17.1736391295887,17.1736391295887,571.321195638409,571.321195638409,571.321195638409,571.321195638409,0.944945375919499,18.7405461161379,2.37397817848763,320.403122213793,0.204031222137933,0.0122113485075952,102.54613485076,26.0175630730684,0.0158091117109215,18.8101553912687,3168.51904095793,1.314970192773,0.05,0.0,27.1081718216562,-10.0785234215819,0.226789655379172,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
1,893.224089921864,23.1036024730333,17.1995784023206,17.1995784023206,17.1995784023206,17.1995784023206,569.971310450358,569.971310450358,569.971310450358,569.971310450358,0.948383302669447,18.7819123859644,2.38523629849389,321.01733130833,0.210173313083297,0.0129705871007983,102.513422246777,25.9817440032022,0.0159240535181331,18.847792448959,3168.51904095793,1.314970192773,0.05,0.0,27.1076039112522,-10.016565746644,0.228474903188957,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
2,906.425000260514,23.7207898871804,17.2256776824265,17.2256776824265,17.2256776824265,17.2256776824265,565.812827071944,565.812827071944,565.812827071944,565.812827071944,0.955234575135207,18.8232835788437,2.40173500937015,321.917451245112,0.219174512451124,0.0141499398297201,102.522815391058,25.9584932292491,0.0161621311433213,18.8853395696118,3168.51904095793,1.314970192773,0.05,0.0,27.1070415923858,-9.89251070825729,0.231843300778148,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
3,921.672758764193,24.385366524626,17.2519676083276,17.2519676083276,17.2519676083276,17.2519676083276,561.000895002214,561.000895002214,561.000895002214,561.000895002214,0.963148161798616,18.8646753254322,2.42031333429106,322.931028656024,0.22931028656024,0.0154877886501414,102.548152416499,25.9400053229961,0.0164390858499453,18.9228293493136,3168.51904095793,1.314970192773,0.05,0.0,27.1064869459928,-9.74890642239828,0.235741395323556,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
4,937.550529560455,25.0710169265274,17.2784613712315,17.2784613712315,17.2784613712315,17.2784613712315,556.189477570912,556.189477570912,556.189477570912,556.189477570912,0.971388724841876,18.9060922854138,2.43996595849344,324.003216597696,0.24003216597696,0.016900855918709,102.581105496112,25.9237943273436,0.0167285643049106,18.9602763846467,3168.51904095793,1.314970192773,0.05,0.0,27.1059406250349,-9.59921129789757,0.239804348512024,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
5,953.616169783387,25.7693829068178,17.3051666097927,17.3051666097927,17.3051666097927,17.3051666097927,551.566964520272,551.566964520272,551.566964520272,551.566964520272,0.979726792117578,18.9475356880697,2.46037549568901,325.116699430871,0.251166994308714,0.0183626812213131,102.619028525862,25.9090699435014,0.017022349349986,18.9976895196683,3168.51904095793,1.314970192773,0.05,0.0,27.1054028305745,-9.44767400851763,0.243916990187181,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
6,969.733196304992,26.4778322481217,17.3320892389165,17.3320892389165,17.3320892389165,17.3320892389165,547.180973653872,547.180973653872,547.180973653872,547.180973653872,0.988091528882291,18.9890056897012,2.48144667733937,326.266279591243,0.262662795912427,0.0198649358837691,102.661088575735,25.8955830221614,0.0173179191548601,19.0350757881419,3168.51904095793,1.314970192773,0.05,0.0,27.1048736215811,-9.29562175077671,0.248043347211177,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
7,985.86003208475,27.1955404070962,17.3592346832335,17.3592346832335,17.3592346832335,17.3592346832335,543.037625535747,543.037625535747,543.037625535747,543.037625535747,0.996461356651985,19.0305021143228,2.50315542752097,327.450643568989,0.274506435689889,0.0214050190933626,102.707025501893,25.8832553047952,0.0176145233461465,19.0724416834571,3168.51904095793,1.314970192773,0.05,0.0,27.1043530128694,-9.14346383735372,0.25217232839196,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
8,1001.98418591724,27.9222462451617,17.3866082704146,17.3866082704146,17.3866082704146,17.3866082704146,539.131312968227,539.131312968227,539.131312968227,539.131312968227,1.00482979249105,19.0720246843229,2.52550019382412,328.669706669316,0.286697066693161,0.0229821155217936,102.756757708969,25.8720617398202,0.017911955446389,19.109793563466,3168.51904095793,1.314970192773,0.05,0.0,27.1038410057143,-8.99132485299472,0.256300560753703,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
9,1018.10196420172,28.6578621742791,17.4142153548342,17.4142153548342,17.4142153548342,17.4142153548342,535.453464700472,535.453464700472,535.453464700472,535.453464700472,1.01319491942069,19.1135730914479,2.54848644735668,329.923767379378,0.299237673793785,0.0245959590296367,102.810258520511,25.861993580315,0.0182101737764379,19.1471377776683,3168.51904095793,1.314970192773,0.05,0.0,27.1033375972982,-8.83924218947907,0.260427034834267,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0020243967031241,3794.55199622619,NONE
