t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,3629.57203076958,286.294668566422,34.4651598607455,34.4651598607455,34.4651598607455,34.4651598607455,691.4414669929096,691.4414669929096,691.4414669929096,691.4414669929096,2.36854788396941,35.380341459027804,23.8588383890437,1357.35913659483,10.5735913659483,1.25902824078973,227.138163976947,77.5964051792059,0.136223346410848,34.4065390006637,3385.85680456701,0.307318847058115,0.05,0.0,27.1559062890281,50.4830663109321,1.87091341792247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
1,3731.25082908274,283.943743146201,34.6920042565568,34.6920042565568,34.6920042565568,34.6920042565568,684.8156114167525,684.8156114167525,684.8156114167525,684.8156114167525,2.42131918029394,35.4263811856963,24.442125306714,1378.07077862527,10.7807077862527,1.28042284959369,229.23281890395,77.9266989364366,0.141182822337284,34.634188667166,3385.85680456701,0.307318847058115,0.05,0.0,27.1588614588982,52.4073946098337,1.92332516963028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
2,3741.70179888938,285.883207826713,34.9199295347778,34.9199295347778,34.9199295347778,34.9199295347778,687.7422680010216,687.7422680010216,687.7422680010216,687.7422680010216,2.42674323362359,35.4738762143392,24.7376234283971,1388.48352851814,10.8848352851814,1.29284680801156,230.43042485155,78.11023401872271,0.142235095532064,34.8612732741645,3385.85680456701,0.307318847058115,0.05,0.0,27.1618311276256,52.5999981649119,1.92871226746875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
3,3768.33609817719,289.987466877745,35.1523576004164,35.1523576004164,35.1523576004164,35.1523576004164,693.8318976201375,693.8318976201375,693.8318976201375,693.8318976201375,2.44056643495396,35.524353985192704,25.4095861896585,1411.96726322497,11.1196726322497,1.32023439924049,233.124410135058,78.5331329096948,0.144728185311119,35.0913080894095,3385.85680456701,0.307318847058115,0.05,0.0,27.1648211503871,53.0996055425767,1.9424412877202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
4,3765.54713573013,288.901050579042,35.3874141188464,35.3874141188464,35.3874141188464,35.3874141188464,692.0865876170806,692.0865876170806,692.0865876170806,692.0865876170806,2.43911896344394,35.5769634776521,25.2667153713326,1406.99655931042,11.0699655931042,1.31485319861587,232.541532283611,78.4296712270112,0.14430676041028,35.3223603295974,3385.85680456701,0.307318847058115,0.05,0.0,27.1678265657018,53.0408155664027,1.94100367821141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
5,3752.97767310462,286.981194218985,35.6202314183043,35.6202314183043,35.6202314183043,35.6202314183043,689.2148233514366,689.2148233514366,689.2148233514366,689.2148233514366,2.4325954123413,35.6289768198739,24.9516001598114,1395.99069964209,10.9599069964209,1.30263590654615,231.27506133365,78.2161002653808,0.143138605923172,35.5494548864953,3385.85680456701,0.307318847058115,0.05,0.0,27.170822235833,52.7965094804313,1.93452457376527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
6,3741.92349981399,285.450850017791,35.8503493936518,35.8503493936518,35.8503493936518,35.8503493936518,686.9509386447826,686.9509386447826,686.9509386447826,686.9509386447826,2.42685829640346,35.6801155902577,24.6942076141364,1386.95696466046,10.8695696466046,1.29270151793213,230.236896770856,78.0386029144108,0.142156350946004,35.7721546767948,3385.85680456701,0.307318847058115,0.05,0.0,27.1738047527365,52.5810264442997,1.92882654629587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
7,3730.44989611648,283.797755232776,36.0780042281864,36.0780042281864,36.0780042281864,36.0780042281864,684.4972730227036,684.4972730227036,684.4972730227036,684.4972730227036,2.42090349608445,35.730523006857396,24.4223864583742,1377.37332508076,10.7737332508076,1.28212032790253,229.134068103699,77.8500726194109,0.141126023004822,35.9907362118191,3385.85680456701,0.307318847058115,0.05,0.0,27.1767753624453,52.3576582802421,1.92291231758581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
8,3712.44429467656,281.097245892726,36.3023835233298,36.3023835233298,36.3023835233298,36.3023835233298,680.4838803952275,680.4838803952275,680.4838803952275,680.4838803952275,2.41155858893713,35.7798026360295,23.9891763714413,1362.00565589323,10.6200565589323,1.26487407877364,227.364749559408,77.5524009921298,0.139492160253015,36.2044008794435,3385.85680456701,0.307318847058115,0.05,0.0,27.1797304977263,52.0104892080678,1.91363107973018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
9,3674.55021676338,275.330629249198,36.5205786098675,36.5205786098675,36.5205786098675,36.5205786098675,671.9235638533966,671.9235638533966,671.9235638533966,671.9235638533966,2.39189156250019,35.8265442529099,23.0882095332875,1329.6645767318,10.296645767318,1.22808252884075,223.640916963114,76.93175961029641,0.136075299762024,36.410209063776804,3385.85680456701,0.307318847058115,0.05,0.0,27.1826563620318,51.2863066549036,1.89409804987803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0023017755438833,4042.57809840751,NONE
