t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,897.936945550621,22.8281563169449,16.1795308247688,16.1795308247688,16.1795308247688,16.1795308247688,513.062242183149,513.062242183149,513.062242183149,513.062242183149,0.950829274740772,17.1670513737875,2.38230432932247,320.85737190756,0.208573719075604,0.0128814355879514,102.613143558795,6.6188170787745,0.0171326482719342,14.2734463346916,2851.39709393716,0.266140006884908,0.05,0.0,27.1541076771695,-1.36796630539185,0.46285409564465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
1,907.774400560598,23.5491168730324,16.1971839344285,16.1971839344285,16.1971839344285,16.1971839344285,511.074094945173,511.074094945173,511.074094945173,511.074094945173,0.955934913890951,17.1984171135972,2.39903253962342,321.770012641222,0.21770012641222,0.0139324991840773,102.618018241227,6.5941720793158,0.017322695815021,14.2668453034098,2851.39709393716,0.266140006884908,0.05,0.0,27.1540341375573,-1.18122600476,0.467924948742576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
2,927.320711753148,24.4676419916247,16.2149786452309,16.2149786452309,16.2149786452309,16.2149786452309,505.416655608797,505.416655608797,505.416655608797,505.416655608797,0.966079449399884,17.2296750994394,2.4238743193526,323.125305267846,0.231253052678464,0.0156200241103553,102.686619358116,6.58729798992647,0.0177079551238374,14.2603365067193,2851.39709393716,0.266140006884908,0.05,0.0,27.1539773688342,-0.810180873988055,0.478000366883066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
3,949.857199416198,25.4622187710323,16.2329644975088,16.2329644975088,16.2329644975088,16.2329644975088,499.060045495818,499.060045495818,499.060045495818,499.060045495818,0.977775886497007,17.2608475922398,2.45219387375655,324.670334798394,0.246703347983939,0.0175597208678059,102.780517910334,6.58746908393164,0.0181548828767214,14.2539697984559,2851.39709393716,0.266140006884908,0.05,0.0,27.1539435016518,-0.382371234521993,0.489617113101133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
4,973.304900757178,26.4943073769799,16.2511656045307,16.2511656045307,16.2511656045307,16.2511656045307,492.874790562503,492.874790562503,492.874790562503,492.874790562503,0.989945243492975,17.2919413354977,2.48252788299158,326.325266912775,0.263252669127746,0.0196296383570752,102.887518738741,6.59127820742606,0.0186221586038418,14.2477687145276,2851.39709393716,0.266140006884908,0.05,0.0,27.153934420076,0.0627370260594442,0.501703557091329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
5,997.02190111469,27.5517008316716,16.2695980296461,16.2695980296461,16.2695980296461,16.2695980296461,487.092669985431,487.092669985431,487.092669985431,487.092669985431,1.00225436667852,17.3229582497647,2.51442322691922,328.065380741978,0.28065380741978,0.0217911463944831,103.003758775782,6.59764345784049,0.0190970509549295,14.2417484033028,2851.39709393716,0.266140006884908,0.05,0.0,27.1539506921657,0.512957218103463,0.513928815007572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
6,1020.81335677448,28.6305895318589,16.2882754285896,16.2882754285896,16.2882754285896,16.2882754285896,481.758437605373,481.758437605373,481.758437605373,481.758437605373,1.01460213216596,17.3538987239447,2.54775490323177,329.883856536865,0.298838565368646,0.0240322036926929,103.128033843559,6.60622457643655,0.0195757448453335,14.2359214468078,2851.39709393716,0.266140006884908,0.05,0.0,27.1539924822196,0.964589349531594,0.52619245194561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
7,1044.62117446491,29.7297959637479,16.3072108704313,16.3072108704313,16.3072108704313,16.3072108704313,476.864764616175,476.864764616175,476.864764616175,476.864764616175,1.02695838954729,17.3847626403801,2.58250303318753,331.779609773204,0.317796097732038,0.0263491062755224,103.259973495309,6.61691353944997,0.0200571607201234,14.2302997385203,2851.39709393716,0.266140006884908,0.05,0.0,27.1540598328596,1.41652935718692,0.538464522920056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
8,1068.42839127082,30.8489542285752,16.3264174194493,16.3264174194493,16.3264174194493,16.3264174194493,472.391239530624,472.391239530624,472.391239530624,472.391239530624,1.03931433506956,17.4155496883743,2.61868085342054,333.753362601852,0.33753362601852,0.028740719544482,103.399464222061,6.62967364380273,0.0205410444015446,14.2248950825189,2851.39709393716,0.266140006884908,0.05,0.0,27.1541527507294,1.86845395715232,0.550736284160219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
9,1092.23014644459,31.9879438652682,16.3459083159131,16.3459083159131,16.3459083159131,16.3459083159131,468.315311978024,468.315311978024,468.315311978024,468.315311978024,1.05166744600474,17.4462594591112,2.65631177854883,335.806392453796,0.358063924537956,0.0312066829791221,103.546469922667,6.64448945293657,0.0210273852812059,14.219719378775,2851.39709393716,0.266140006884908,0.05,0.0,27.1542712320441,2.32026960280659,0.563005230126078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0014676487770494,3430.78386661563,NONE
