t,rpm_true,torque_true,cht_c1_true,cht_c2_true,cht_c3_true,cht_c4_true,egt_c1_true,egt_c2_true,egt_c3_true,egt_c4_true,oil_pressure_true,oil_temperature_true,fuel_flow_true,rail_pressure_true,injection_timing_true,boost_pressure_true,map_true,intake_temperature_true,air_mass_flow_true,coolant_temperature_true,vibration_rms_x_true,vibration_order_1x_true,vibration_rms_x_bearing_proxy_true,vibration_order_1x_bearing_proxy_true,battery_voltage_true,battery_current_true,alternator_power_true,injector_health_c1,injector_health_c2,injector_health_c3,injector_health_c4,cooling_health,oil_pump_health,bearing_health,turbo_efficiency_deg,combustion_stability,injection_timing_deg,fuel_delivery_health,alternator_health,misfire_rate_c1,misfire_rate_c2,misfire_rate_c3,misfire_rate_c4,sensor_fault_active_cht_c3,imep_cov_c1,vibration_order_2x_true,sensor_fault_active_vibration_rms_x_bearing_proxy
0,800.0,0.0,15.0,15.0,15.0,15.0,594.325930761031,594.325930761031,594.325930761031,594.325930761031,0.9,15.0,2.0,300.0,0.0,0.0,101.325,45.5549373693552,0.0132310033687857,15.0,,,0.05,0.0,27.16,-3.22639418186235,0.412371134020619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,,,NONE
1,431.444924247729,7.0,15.0187079881849,15.0187079881849,15.0187079881849,15.0187079881849,846.701023650209,846.701023650209,846.701023650209,846.701023650209,0.708719915684572,15.0402767440488,1.60886477643744,303.073026536394,0.0307302653639414,0.00236425,101.561425,45.6307562705297,0.0071505101174997,15.1637466363177,,,0.05,0.0,27.1595384982716,-10.2212969917851,0.222394290849345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,,,NONE
2,544.622122280335,14.0,15.0355359218325,15.0355359218325,15.0355359218325,15.0355359218325,846.776716585265,846.776716585265,846.776716585265,846.776716585265,0.767458881463494,15.0743216048361,2.03514880249184,307.758293770603,0.0775829377060319,0.0047284999999999,101.79785,45.7064492055854,0.0090451057888526,15.324028553621,,,0.05,0.0,27.1590026317178,-8.07345358927524,0.280733052721822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,,,NONE
3,752.738586985365,21.0,15.0588680960601,15.0588680960601,15.0588680960601,15.0588680960601,846.852284055311,846.852284055311,846.852284055311,846.852284055311,0.875471326645405,15.1197797739357,2.8187050511579,316.084456134051,0.16084456134051,0.00709275,102.034275,45.7820166756316,0.0125275780051462,15.4894552568533,1159.78464943844,0.0093619399095133,0.05,0.0,27.1586565973843,-4.12356254360883,0.388009580920291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
4,855.969597151315,22.0447658134912,15.0827982047388,15.0827982047388,15.0827982047388,15.0827982047388,641.384395387736,641.384395387736,641.384395387736,641.384395387736,0.929048220921533,15.1644375553015,2.35193006233407,319.200243451497,0.192002434514971,0.010400903001625,102.365090300162,45.8875440434699,0.0142870772207211,15.6539586263181,1159.78464943844,0.0093619399095133,0.05,0.0,27.1584908114665,-2.16427925165151,0.441221441830575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
5,888.125493857455,22.6450092186725,15.1062551525816,15.1062551525816,15.1062551525816,15.1062551525816,625.289960247189,625.289960247189,625.289960247189,625.289960247189,0.945737131312019,15.2072217483122,2.37509335982663,320.46396314639,0.204639631463904,0.0123015174713121,102.555151747131,45.9480619478752,0.014848501392953,15.8164648728512,1159.78464943844,0.0093619399095133,0.05,0.0,27.158388847617,-1.5539711843189,0.457796646318276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
6,898.03860163547,22.8300538971954,15.13016600137,15.13016600137,15.13016600137,15.13016600137,620.584589580455,620.584589580455,620.584589580455,620.584589580455,0.950882034248809,15.250474669703,2.38237939274299,320.861467141536,0.208614671415364,0.0128874440979165,102.613744409792,45.9667024165673,0.0150219384106953,15.9779334018078,1159.78464943844,0.0093619399095133,0.05,0.0,27.1583072711957,-1.36582534180822,0.462906495688386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
7,901.023945702322,22.8857803197767,15.1544386492666,15.1544386492666,15.1544386492666,15.1544386492666,619.190076944667,619.190076944667,619.190076944667,619.190076944667,0.952431427819505,15.2941414730492,2.38458699588068,320.98190731481,0.209819073148103,0.0130638965906679,102.631389659067,45.9723145260732,0.0150742023740694,16.1382833716137,1159.78464943844,0.0093619399095133,0.05,0.0,27.1582319073039,-1.30916722727408,0.464445332836249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
8,901.91658933029,22.9024430008321,15.1790419656378,15.1790419656378,15.1790419656378,15.1790419656378,618.775099721409,618.775099721409,618.775099721409,618.775099721409,0.952894709862421,15.3382014213221,2.38524829341953,321.017985715319,0.210179857153188,0.0131166574081036,102.63666574081,45.9739924613773,0.0150898327345751,16.2974967184486,1159.78464943844,0.0093619399095133,0.05,0.0,27.1581584077037,-1.29222832621706,0.464905458417675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
9,902.182853550527,22.9074132662765,15.2039641490114,15.2039641490114,15.2039641490114,15.2039641490114,618.651494266128,618.651494266128,618.651494266128,618.651494266128,0.953032900992724,15.3826447009234,2.38544565747805,321.028753303478,0.210287533034783,0.0131323952876708,102.638239528767,45.9744929561687,0.0150944953380013,16.45557518684,1159.78464943844,0.0093619399095133,0.05,0.0,27.1580854648888,-1.28717806818373,0.465042708015736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NONE,0.0001061533251154,1418.71410889871,NONE
