t,rpm,torque,power,engine_load,cht_c1,cht_c2,cht_c3,cht_c4,egt_c1,egt_c2,egt_c3,egt_c4,oil_pressure,oil_temperature,fuel_flow,rail_pressure,injection_timing,boost_pressure,map,intake_temperature,air_mass_flow,coolant_temperature,vibration_rms_x,vibration_order_1x,vibration_rms_x_bearing_proxy,vibration_order_1x_bearing_proxy,battery_voltage,battery_current,alternator_power,altitude,ambient_pressure,ambient_temperature,air_density,throttle,engine_state,engine_id,mission_id,data_origin
0,3629.57203076958,286.294668566422,108.817137710802,0.936208981773316,34.4651598607455,34.4651598607455,34.4651598607455,34.4651598607455,691.4414669929096,691.4414669929096,691.4414669929096,691.4414669929096,2.36854788396941,35.380341459027804,23.8588383890437,1357.35913659483,10.5735913659483,1.25902824078973,227.138163976947,77.5964051792059,0.136223346410848,34.4065390006637,3385.85680456701,0.307318847058115,0.05,0.0,27.1559062890281,50.4830663109321,1.87091341792247,7.46586118548388,101.235339897974,50.8730612407616,1.0884254132235633,0.936208981773316,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
1,3731.25082908274,283.943743146201,110.94694960405,0.930833980718015,34.6920042565568,34.6920042565568,34.6920042565568,34.6920042565568,684.8156114167525,684.8156114167525,684.8156114167525,684.8156114167525,2.42131918029394,35.4263811856963,24.442125306714,1378.07077862527,10.7807077862527,1.28042284959369,229.23281890395,77.9266989364366,0.141182822337284,34.634188667166,3385.85680456701,0.307318847058115,0.05,0.0,27.1588614588982,52.4073946098337,1.92332516963028,11.1987917782258,101.190533944581,50.8487971919087,1.0880251601835624,0.930833980718015,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
2,3741.70179888938,285.883207826713,112.017644799115,0.937438095001407,34.9199295347778,34.9199295347778,34.9199295347778,34.9199295347778,687.7422680010216,687.7422680010216,687.7422680010216,687.7422680010216,2.42674323362359,35.4738762143392,24.7376234283971,1388.48352851814,10.8848352851814,1.29284680801156,230.43042485155,78.11023401872271,0.142235095532064,34.8612732741645,3385.85680456701,0.307318847058115,0.05,0.0,27.1618311276256,52.5999981649119,1.92871226746875,14.9317223709678,101.145744050394,50.8245331430559,1.087625019875127,0.937438095001407,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
3,3768.33609817719,289.987466877745,114.434631877713,0.951511500897008,35.1523576004164,35.1523576004164,35.1523576004164,35.1523576004164,693.8318976201375,693.8318976201375,693.8318976201375,693.8318976201375,2.44056643495396,35.524353985192704,25.4095861896585,1411.96726322497,11.1196726322497,1.32023439924049,233.124410135058,78.5331329096948,0.144728185311119,35.0913080894095,3385.85680456701,0.307318847058115,0.05,0.0,27.1648211503871,53.0996055425767,1.9424412877202,18.6646529637097,101.100970211009,50.8002690942031,1.0872249922762278,0.951511500897008,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
4,3765.54713573013,288.901050579042,113.921534824632,0.947895236835924,35.3874141188464,35.3874141188464,35.3874141188464,35.3874141188464,692.0865876170806,692.0865876170806,692.0865876170806,692.0865876170806,2.43911896344394,35.5769634776521,25.2667153713326,1406.99655931042,11.0699655931042,1.31485319861587,232.541532283611,78.4296712270112,0.14430676041028,35.3223603295974,3385.85680456701,0.307318847058115,0.05,0.0,27.1678265657018,53.0408155664027,1.94100367821141,22.3975835564517,101.056212422023,50.7760050453503,1.0868250773648402,0.947895236835924,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
5,3752.97767310462,286.981194218985,112.786738254482,0.941326015487767,35.6202314183043,35.6202314183043,35.6202314183043,35.6202314183043,689.2148233514366,689.2148233514366,689.2148233514366,689.2148233514366,2.4325954123413,35.6289768198739,24.9516001598114,1395.99069964209,10.9599069964209,1.30263590654615,231.27506133365,78.2161002653808,0.143138605923172,35.5494548864953,3385.85680456701,0.307318847058115,0.05,0.0,27.170822235833,52.7965094804313,1.93452457376527,26.1305141491936,101.011470679035,50.751740996497404,1.0864252751189554,0.941326015487767,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
6,3741.92349981399,285.450850017791,111.854861157398,0.936072957810809,35.8503493936518,35.8503493936518,35.8503493936518,35.8503493936518,686.9509386447826,686.9509386447826,686.9509386447826,686.9509386447826,2.42685829640346,35.6801155902577,24.6942076141364,1386.95696466046,10.8695696466046,1.29270151793213,230.236896770856,78.0386029144108,0.142156350946004,35.7721546767948,3385.85680456701,0.307318847058115,0.05,0.0,27.1738047527365,52.5810264442997,1.92882654629587,29.8634447419355,100.966744977643,50.727476947644604,1.0860255855165444,0.936072957810809,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
7,3730.44989611648,283.797755232776,110.866103806246,0.930413361875841,36.0780042281864,36.0780042281864,36.0780042281864,36.0780042281864,684.4972730227036,684.4972730227036,684.4972730227036,684.4972730227036,2.42090349608445,35.730523006857396,24.4223864583742,1377.37332508076,10.7737332508076,1.28212032790253,229.134068103699,77.8500726194109,0.141126023004822,35.9907362118191,3385.85680456701,0.307318847058115,0.05,0.0,27.1767753624453,52.3576582802421,1.92291231758581,33.5963753346775,100.922035313446,50.703212898791804,1.0856260085355849,0.930413361875841,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
8,3712.44429467656,281.097245892726,109.281124260694,0.921186344931301,36.3023835233298,36.3023835233298,36.3023835233298,36.3023835233298,680.4838803952275,680.4838803952275,680.4838803952275,680.4838803952275,2.41155858893713,35.7798026360295,23.9891763714413,1362.00565589323,10.6200565589323,1.26487407877364,227.364749559408,77.5524009921298,0.139492160253015,36.2044008794435,3385.85680456701,0.307318847058115,0.05,0.0,27.1797304977263,52.0104892080678,1.91363107973018,37.3293059274194,100.877341682044,50.6789488499389,1.085226544154058,0.921186344931301,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
9,3674.55021676338,275.330629249198,105.946675163908,0.901512836996301,36.5205786098675,36.5205786098675,36.5205786098675,36.5205786098675,671.9235638533966,671.9235638533966,671.9235638533966,671.9235638533966,2.39189156250019,35.8265442529099,23.0882095332875,1329.6645767318,10.296645767318,1.22808252884075,223.640916963114,76.93175961029641,0.136075299762024,36.410209063776804,3385.85680456701,0.307318847058115,0.05,0.0,27.1826563620318,51.2863066549036,1.89409804987803,41.0622365201614,100.83266407904,50.6546848010862,1.0848271923499695,0.901512836996301,CLIMB,UNIT-healthy-0001,high_throttle_climb_heavy-M002,SIMULATED
