t,rpm,torque,power,engine_load,cht_c1,cht_c2,cht_c3,cht_c4,egt_c1,egt_c2,egt_c3,egt_c4,oil_pressure,oil_temperature,fuel_flow,rail_pressure,injection_timing,boost_pressure,map,intake_temperature,air_mass_flow,coolant_temperature,vibration_rms_x,vibration_order_1x,vibration_rms_x_bearing_proxy,vibration_order_1x_bearing_proxy,battery_voltage,battery_current,alternator_power,altitude,ambient_pressure,ambient_temperature,air_density,throttle,engine_state,engine_id,mission_id,data_origin
0,897.936945550621,22.8281563169449,2.14657119215309,0.14,16.1795308247688,16.1795308247688,16.1795308247688,16.1795308247688,513.062242183149,513.062242183149,513.062242183149,513.062242183149,0.950829274740772,17.1670513737875,2.38230432932247,320.85737190756,0.208573719075604,0.0128814355879514,102.613143558795,6.6188170787745,0.0171326482719342,14.2734463346916,2851.39709393716,0.266140006884908,0.05,0.0,27.1541076771695,-1.36796630539185,0.46285409564465,0.0,101.325,6.25799102204496,1.26333997518836,0.14,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
1,907.774400560598,23.5491168730324,2.23862409777678,0.143388888888889,16.1971839344285,16.1971839344285,16.1971839344285,16.1971839344285,511.074094945173,511.074094945173,511.074094945173,511.074094945173,0.955934913890951,17.1984171135972,2.39903253962342,321.770012641222,0.21770012641222,0.0139324991840773,102.618018241227,6.5941720793158,0.017322695815021,14.2668453034098,2851.39709393716,0.266140006884908,0.05,0.0,27.1540341375573,-1.18122600476,0.467924948742576,8.34649309856224,101.22476832282,6.20373881690432,1.26233537262775,0.143388888888889,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
2,927.320711753148,24.4676419916247,2.37602330008416,0.146777777777778,16.2149786452309,16.2149786452309,16.2149786452309,16.2149786452309,505.416655608797,505.416655608797,505.416655608797,505.416655608797,0.966079449399884,17.2296750994394,2.4238743193526,323.125305267846,0.231253052678464,0.0156200241103553,102.686619358116,6.58729798992647,0.0177079551238374,14.2603365067193,2851.39709393716,0.266140006884908,0.05,0.0,27.1539773688342,-0.810180873988055,0.478000366883066,16.6929861971245,101.12461694708,6.14948661176368,1.2613313813945,0.146777777777778,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
3,949.857199416198,25.4622187710323,2.53269668568726,0.150166666666667,16.2329644975088,16.2329644975088,16.2329644975088,16.2329644975088,499.060045495818,499.060045495818,499.060045495818,499.060045495818,0.977775886497007,17.2608475922398,2.45219387375655,324.670334798394,0.246703347983939,0.0175597208678059,102.780517910334,6.58746908393164,0.0181548828767214,14.2539697984559,2851.39709393716,0.266140006884908,0.05,0.0,27.1539435016518,-0.382371234521993,0.489617113101133,25.0394792956867,101.024545823554,6.09523440662292,1.26032800123077,0.150166666666667,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
4,973.304900757178,26.4943073769799,2.70041243156072,0.153555555555556,16.2511656045307,16.2511656045307,16.2511656045307,16.2511656045307,492.874790562503,492.874790562503,492.874790562503,492.874790562503,0.989945243492975,17.2919413354977,2.48252788299158,326.325266912775,0.263252669127746,0.0196296383570752,102.887518738741,6.59127820742606,0.0186221586038418,14.2477687145276,2851.39709393716,0.266140006884908,0.05,0.0,27.153934420076,0.0627370260594442,0.501703557091329,33.385972394249,100.924554903033,6.04098220148228,1.25932523187879,0.153555555555556,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
5,997.02190111469,27.5517008316716,2.87661493138749,0.156944444444444,16.2695980296461,16.2695980296461,16.2695980296461,16.2695980296461,487.092669985431,487.092669985431,487.092669985431,487.092669985431,1.00225436667852,17.3229582497647,2.51442322691922,328.065380741978,0.28065380741978,0.0217911463944831,103.003758775782,6.59764345784049,0.0190970509549295,14.2417484033028,2851.39709393716,0.266140006884908,0.05,0.0,27.1539506921657,0.512957218103463,0.513928815007572,41.7324654928112,100.824644136334,5.98672999634164,1.25832307308087,0.156944444444444,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
6,1020.81335677448,28.6305895318589,3.06059068798699,0.160333333333333,16.2882754285896,16.2882754285896,16.2882754285896,16.2882754285896,481.758437605373,481.758437605373,481.758437605373,481.758437605373,1.01460213216596,17.3538987239447,2.54775490323177,329.883856536865,0.298838565368646,0.0240322036926929,103.128033843559,6.60622457643655,0.0195757448453335,14.2359214468078,2851.39709393716,0.266140006884908,0.05,0.0,27.1539924822196,0.964589349531594,0.52619245194561,50.0789585913734,100.72481347429,5.93247779120099,1.25732152457935,0.160333333333333,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
7,1044.62117446491,29.7297959637479,3.25221591958563,0.163722222222222,16.3072108704313,16.3072108704313,16.3072108704313,16.3072108704313,476.864764616175,476.864764616175,476.864764616175,476.864764616175,1.02695838954729,17.3847626403801,2.58250303318753,331.779609773204,0.317796097732038,0.0263491062755224,103.259973495309,6.61691353944997,0.0200571607201234,14.2302997385203,2851.39709393716,0.266140006884908,0.05,0.0,27.1540598328596,1.41652935718692,0.538464522920056,58.4254516899357,100.625062867757,5.87822558606035,1.25632058611664,0.163722222222222,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
8,1068.42839127082,30.8489542285752,3.45155250375448,0.167111111111111,16.3264174194493,16.3264174194493,16.3264174194493,16.3264174194493,472.391239530624,472.391239530624,472.391239530624,472.391239530624,1.03931433506956,17.4155496883743,2.61868085342054,333.753362601852,0.33753362601852,0.028740719544482,103.399464222061,6.62967364380273,0.0205410444015446,14.2248950825189,2851.39709393716,0.266140006884908,0.05,0.0,27.1541527507294,1.86845395715232,0.550736284160219,66.7719447884979,100.525392267613,5.82397338091971,1.25532025743521,0.167111111111111,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
9,1092.23014644459,31.9879438652682,3.65871939357549,0.1705,16.3459083159131,16.3459083159131,16.3459083159131,16.3459083159131,468.315311978024,468.315311978024,468.315311978024,468.315311978024,1.05166744600474,17.4462594591112,2.65631177854883,335.806392453796,0.358063924537956,0.0312066829791221,103.546469922667,6.64448945293657,0.0210273852812059,14.219719378775,2851.39709393716,0.266140006884908,0.05,0.0,27.1542712320441,2.32026960280659,0.563005230126078,75.1184378870601,100.425801624755,5.76972117577907,1.25432053827761,0.1705,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
10,1116.02509367534,33.1467184523424,3.87385282617812,0.173888888888889,16.365697031082,16.365697031082,16.365697031082,16.365697031082,464.615181928609,464.615181928609,464.615181928609,464.615181928609,1.0640170236175,17.4768914740123,2.69542229489491,337.940144342958,0.379401443429584,0.0337468662554826,103.700977515649,6.66135164538173,0.0215162436109906,14.2147846786754,2851.39709393716,0.266140006884908,0.05,0.0,27.1544152700622,2.77194946362711,0.575270666842957,83.4649309856224,100.326290890101,5.71546897063843,1.25332142838643,0.173888888888889,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
11,1139.81291520598,34.3252549232915,4.09709432825208,0.177277777777778,16.3857972836249,16.3857972836249,16.3857972836249,16.3857972836249,461.270451940241,461.270451940241,461.270451940241,461.270451940241,1.0763629029919,17.5074451933552,2.73603981459028,340.156113792612,0.401561137926124,0.0363612083328559,103.862980847878,6.68025253777898,0.0220077003429889,14.2101032007534,2851.39709393716,0.266140006884908,0.05,0.0,27.1545848572559,3.22348623551712,0.587532430518546,91.8114240841846,100.226860014592,5.66121676549778,1.25232292750431,0.177277777777778,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
12,1163.59361585277,35.5235389189201,4.32858721356061,0.180666666666667,16.4062230445181,16.4062230445181,16.4062230445181,16.4062230445181,458.262182737513,458.262182737513,458.262182737513,458.262182737513,1.08870508662759,17.5379200191238,2.77819204643184,342.455812511199,0.424558125111991,0.0390496709629748,104.032476045485,6.701184794987,0.0225018428460444,14.2056873345473,2851.39709393716,0.266140006884908,0.05,0.0,27.1547799859597,3.67487873910387,0.599790523635446,100.157917182747,100.127508949187,5.60696456035703,1.25132503537399,0.180666666666667,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
13,1187.36732445302,36.7415606404958,4.5684756110847,0.184055555555556,16.4269885386138,16.4269885386138,16.4269885386138,16.4269885386138,455.572802651052,455.572802651052,455.572802651052,455.572802651052,1.10104364139112,17.5683152961587,2.82190681917118,344.840758751528,0.448407587515275,0.0418122255689221,104.20946020176,6.72414106898469,0.0229987608881698,14.2015496410356,2851.39709393716,0.266140006884908,0.05,0.0,27.1550006485883,4.12612815056124,0.612045012604649,108.504410281309,100.028237644868,5.55271235521639,1.25032775173822,0.184055555555556,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
14,1211.13423685367,37.9793136884122,4.81690422831985,0.187444444444444,16.4481082452995,16.4481082452995,16.4481082452995,16.4481082452995,453.185990641624,453.185990641624,453.185990641624,453.185990641624,1.11337866892706,17.5986303127639,2.86721203640603,347.312474849786,0.473124748497856,0.0446488496206394,104.393931014701,6.74911390191096,0.0234985454931288,14.1977028521463,2851.39709393716,0.266140006884908,0.05,0.0,27.1552468377334,4.57723691929282,0.624295998378183,116.850903379871,99.9290460526371,5.49846015007574,1.24933107633986,0.187444444444444,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
15,1234.89459767636,39.2367947279511,5.07401832226958,0.190833333333333,16.4695968989445,16.4695968989445,16.4695968989445,16.4695968989445,451.086562951531,451.086562951531,451.086562951531,451.086562951531,1.12571029619403,17.6288643010927,2.91413566874492,349.872486798069,0.498724867980688,0.0475595256451514,104.585886688032,6.77609570235416,0.024001288587118,14.1941598700566,2851.39709393716,0.266140006884908,0.05,0.0,27.1555185462241,5.02820842169683,0.636543607049669,125.197396478434,99.8299341235169,5.4442079449351,1.2483350089218,0.190833333333333,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
16,1258.64869265029,40.5140033772232,5.33996372697519,0.194222222222222,16.4914694893276,16.4914694893276,16.4914694893276,16.4914694893276,449.260369819593,449.260369819593,449.260369819593,449.260369819593,1.1380386714855,17.6590164374029,2.96270575618991,352.522324374374,0.525223243743744,0.0505442409467977,104.785325903231,6.80507874139192,0.0245070828612068,14.1909337664833,2851.39709393716,0.266140006884908,0.05,0.0,27.1558157671748,5.47904681552821,0.64878798590221,133.543889576996,99.7309018085513,5.38995573979446,1.24733954922699,0.194222222222222,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
17,1282.39684393586,41.8109421520291,5.61488689534322,0.197611111111111,16.5137412621005,16.5137412621005,16.5137412621005,16.5137412621005,447.694202751347,447.694202751347,447.694202751347,447.694202751347,1.15036396200271,17.6890858422038,3.01295041317119,355.263521417273,0.552635214172734,0.0536029875111498,104.99224780992,6.83605515376433,0.025016021694642,14.1880377820182,2851.39709393716,0.266140006884908,0.05,0.0,27.1561384940267,5.92975695102174,0.661029300997864,141.890382675558,99.6319490588051,5.33570353465382,1.24634469699845,0.197611111111111,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
18,1306.13940640156,43.1276164228358,5.89893494349005,0.201,16.5364277192969,16.5364277192969,16.5364277192969,16.5364277192969,446.375711489615,446.375711489615,446.375711489615,446.375711489615,1.16268635192241,17.7190715803062,3.06489783412116,358.097616130018,0.580976161300178,0.0567357619496911,105.206652020333,6.86901694021572,0.0255281990971775,14.1854853255198,2851.39709393716,0.266140006884908,0.05,0.0,27.1564867205847,6.3803443001042,0.673267735258538,150.23687577412,99.5330758253638,5.28145132951317,1.24535045197927,0.201,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
19,1329.87676440381,44.4640343747097,6.1922556951767,0.204388888888889,16.5595446198936,16.5595446198936,16.5595446198936,16.5595446198936,445.293329609966,445.293329609966,445.293329609966,445.293329609966,1.17500604072558,17.7489726607762,3.11857629915294,361.02615139034,0.610261513903404,0.0599425654559235,105.428538604926,6.90395597018801,0.026043709661205,14.183289973565,2851.39709393716,0.266140006884908,0.05,0.0,27.156860441051,6.83081489514435,0.685503486806088,158.583368872683,99.4342820593336,5.22719912437253,1.24435681391258,0.204388888888889,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
20,1353.60932878686,45.820206964072,6.49499772450264,0.207777777777778,16.5831079804184,16.5831079804184,16.5831079804184,16.5831079804184,444.436207764883,444.436207764883,444.436207764883,444.436207764883,1.18732324164038,17.7787880367988,3.17401417951323,364.050675047948,0.640506750479479,0.0632234037531471,105.657908087157,6.9408639843208,0.0265626485177684,14.1814654699566,2851.39709393716,0.266140006884908,0.05,0.0,27.157259650055,7.28117527187639,0.697736767415907,166.929861971245,99.3355677118419,5.17294691923189,1.24336378254158,0.207777777777778,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
21,1377.33753416559,47.1961478747545,6.8073103975576,0.211166666666667,16.607134075607,16.607134075607,16.607134075607,16.607134075607,443.794153673783,443.794153673783,443.794153673783,443.794153673783,1.19963818023194,17.8085166054515,3.23123994293516,367.172740216555,0.671727402165546,0.0665782870416949,105.894761438206,6.97973259697039,0.0270851112978271,14.180025725287,2851.39709393716,0.266140006884908,0.05,0.0,27.1576843426802,7.73143241768607,0.709967801116283,175.276355069807,99.2369327340365,5.11869471409113,1.24237135760953,0.211166666666667,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
22,1401.0349850344,48.5802304905902,7.12749906643413,0.214555555555556,16.6316393010241,16.6316393010241,16.6316393010241,16.6316393010241,443.304946198853,443.304946198853,443.304946198853,443.304946198853,1.21193715723285,17.8381572718078,3.28994723358005,370.375633044987,0.703756330449873,0.0700610486986638,106.144481946953,7.0220211101568,0.0276119202922575,14.178984674884,2851.39709393716,0.266140006884908,0.05,0.0,27.1581345130468,8.18108408255205,0.722182981976495,183.622848168369,99.1383770770864,5.06444250895049,1.24137953885976,0.214555555555556,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
23,1420.94318397565,49.6738386361255,7.39150803410843,0.217944444444444,16.6565859848361,16.6565859848361,16.6565859848361,16.6565859848361,442.397545029901,442.397545029901,442.397545029901,442.397545029901,1.22226951248336,17.8677185577332,3.33852326361202,373.025794830927,0.730257948309268,0.0743131958693456,106.471220279116,7.08517576165627,0.0280841490270518,14.1783008046379,2851.39709393716,0.266140006884908,0.05,0.0,27.1586084902536,8.55879417669916,0.732444940193635,191.969341266931,99.0399006921813,5.01019030380985,1.24038832603564,0.217944444444444,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
24,1438.82682906138,50.7408558832414,7.64530707791574,0.221333333333333,16.6819102851496,16.6819102851496,16.6819102851496,16.6819102851496,441.923375081182,441.923375081182,441.923375081182,441.923375081182,1.23155112428286,17.8971959425791,3.38529629168989,375.577590264664,0.755775902646637,0.0783602972832766,106.777533258859,7.14260614958584,0.0285135795622719,14.1779062933485,2851.39709393716,0.266140006884908,0.05,0.0,27.159102401276,8.89805967732611,0.741663313949165,200.315834365494,98.9415035305315,4.95593809866921,1.23939771888062,0.221333333333333,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
25,1456.44906366605,51.8122976998508,7.90235927804467,0.224722222222222,16.707610298473,16.707610298473,16.707610298473,16.707610298473,441.573921791695,441.573921791695,441.573921791695,441.573921791695,1.24069706404268,17.9265847846429,3.43269753672506,378.163659322087,0.781636593220872,0.0824560861227344,107.088794155642,7.20122454951928,0.0289408874186145,14.1777971119689,2851.39709393716,0.266140006884908,0.05,0.0,27.1596153373482,9.23234504316552,0.750746940034049,208.662327464056,98.8431855433684,4.90168589352857,1.2384077171382,0.224722222222222,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
26,1474.00409186848,52.8916223596899,8.16421053483819,0.228111111111111,16.7336933543013,16.7336933543013,16.7336933543013,16.7336933543013,441.312961358723,441.312961358723,441.312961358723,441.312961358723,1.24980812367974,17.9558842722724,3.4810062572676,380.799237507979,0.807992375079787,0.0866286839143376,107.407815073378,7.26178454319097,0.0293706313489299,14.1779786921221,2851.39709393716,0.266140006884908,0.05,0.0,27.1601471571716,9.56533564196645,0.759795923643547,217.008820562618,98.744946681944,4.84743368838792,1.23741832055194,0.228111111111111,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
27,1491.51414742838,53.9792216843252,8.43106841308904,0.2315,16.7601678725893,16.7601678725893,16.7601678725893,16.7601678725893,441.133281452626,441.133281452626,441.133281452626,441.133281452626,1.25889584251533,17.9850939944944,3.53025988818279,383.486367155755,0.834863671557555,0.0908810980573067,107.734896703262,7.32435536778542,0.02980338481843,14.1784575434858,2851.39709393716,0.266140006884908,0.05,0.0,27.1606978043079,9.89745283480561,0.768821725478546,225.35531366118,98.6467868975314,4.79318148324728,1.23642952886546,0.2315,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
28,1508.98296648198,55.0751543444577,8.70299388420154,0.234888888888889,16.787042451511,16.787042451511,16.787042451511,16.787042451511,441.030858202244,441.030858202244,441.030858202244,441.030858202244,1.26796215960415,18.0142135674703,3.58046932878809,386.225642899327,0.862256428993268,0.0952136045763697,108.070066599061,7.38893179161505,0.0302392899860847,14.1792403145968,2851.39709393716,0.266140006884908,0.05,0.0,27.161267232873,10.2287669054783,0.777826271382464,233.701806759743,98.5487061414241,4.73892927810664,1.23544134182246,0.234888888888889,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
29,1526.41229595213,56.1794443884065,8.98003260515648,0.238277777777778,16.8143257681914,16.8143257681914,16.8143257681914,16.8143257681914,441.00215423218,441.00215423218,441.00215423218,441.00215423218,1.27700798159916,18.0432425940001,3.63164267002107,389.017506155859,0.890175061558593,0.0996261935366753,108.413323718604,7.45550062076052,0.030678442481569,14.1803336905643,2851.39709393716,0.266140006884908,0.05,0.0,27.1618553995674,10.5593103862693,0.786810461830996,242.048299858305,98.4507043649366,4.684677072966,1.23445375916667,0.238277777777778,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
30,1543.80363675091,57.2921131738363,9.26222909539625,0.241666666666667,16.8420265684663,16.8420265684663,16.8420265684663,16.8420265684663,441.04383200757,441.04383200757,441.04383200757,441.04383200757,1.28603408747372,18.0721806586163,3.6837877583135,391.862385003021,0.918623850030212,0.104118830845873,108.764664603992,7.52404781021067,0.0311209323037704,14.1817443824266,2851.39709393716,0.266140006884908,0.05,0.0,27.1624622627981,10.8891111427426,0.795775070490161,250.394792956867,98.3527815194043,4.63042486782535,1.2334667806419,0.241666666666667,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
31,1561.15842573536,58.4131826769958,9.54962823634042,0.245055555555556,16.8701536662034,16.8701536662034,16.8701536662034,16.8701536662034,441.152715537279,441.152715537279,441.152715537279,441.152715537279,1.29504122295665,18.101027326405,3.73691246730028,394.7607090026,0.947607090026001,0.108691485558325,109.124086112016,7.59455920916639,0.031566848120102,14.1834791263455,2851.39709393716,0.266140006884908,0.05,0.0,27.1630877825454,11.2181958269019,0.80472083800792,258.741286055429,98.2549375561831,4.5761726626846,1.23248040599201,0.245055555555556,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
32,1578.47805562541,59.5426757888419,9.84227542460908,0.248444444444444,16.8987159436285,16.8987159436285,16.8987159436285,16.8987159436285,441.325777816838,441.325777816838,441.325777816838,441.325777816838,1.30403011086959,18.1297821422098,3.79102472601626,397.712910738838,0.977129107388383,0.113344132484636,109.491585675113,7.6670206373114,0.0320162777419999,14.1855446838323,2851.39709393716,0.266140006884908,0.05,0.0,27.1637319203084,11.5465902550247,0.813648482281138,267.087779153992,98.1571724266498,4.52192045754396,1.23149463496094,0.248444444444444,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
33,1595.76387834285,60.6806163009052,10.1402165846918,0.251833333333333,16.9277223517565,16.9277223517565,16.9277223517565,16.9277223517565,441.560131505685,441.560131505685,441.560131505685,441.560131505685,1.31300145285994,18.1584446298748,3.84613252167541,400.719425970057,1.00719425970057,0.118076752254474,109.867161307649,7.7414178922109,0.0324693082063768,14.1879478420758,2851.39709393716,0.266140006884908,0.05,0.0,27.1643946390599,11.8743194708604,0.822558700176725,275.434272252554,98.0594860822021,4.46766825240331,1.23050946729266,0.251833333333333,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
34,1613.01720661354,61.827028860688,10.4434981669089,0.255222222222222,16.9571819108299,16.9571819108299,16.9571819108299,16.9571819108299,441.853020548871,441.853020548871,441.853020548871,441.853020548871,1.32195593023243,18.1870142914917,3.90224389980472,403.780693635958,1.03780693635958,0.122889331125802,110.250811586839,7.81773674985129,0.0329260258153166,14.1906954142757,2851.39709393716,0.266140006884908,0.05,0.0,27.165075903203,12.2014077758721,0.831452168357496,283.780765351116,97.9618784742584,4.41341604726267,1.22952490273122,0.255222222222222,CLIMB,UNIT-healthy-0002,short_patrol-M001,SIMULATED
