t,rpm,torque,power,engine_load,cht_c1,cht_c2,cht_c3,cht_c4,egt_c1,egt_c2,egt_c3,egt_c4,oil_pressure,oil_temperature,fuel_flow,rail_pressure,injection_timing,boost_pressure,map,intake_temperature,air_mass_flow,coolant_temperature,vibration_rms_x,vibration_order_1x,vibration_rms_x_bearing_proxy,vibration_order_1x_bearing_proxy,battery_voltage,battery_current,alternator_power,altitude,ambient_pressure,ambient_temperature,air_density,throttle,engine_state,engine_id,mission_id,data_origin
0,920.584617046249,23.25091285153,2.24146695117544,0.14,16.97410447985,16.97410447985,16.97410447985,16.97410447985,526.720301801431,526.720301801431,526.720301801431,526.720301801431,0.481291708123502,18.5548335843812,2.39920526400434,321.779435962838,0.217794359628382,0.0142200545212897,102.747005452129,15.0716230639278,0.0170718780413574,16.6569795377102,3279.11036008144,1.31014842267997,0.05,0.0,27.1539183505645,-0.938054189989392,0.474528153116623,0.0,101.325,14.6615120406541,1.22645297244176,0.14,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
1,927.555330477517,23.7567382476055,2.30757197653215,0.142366666666667,16.9956599682361,16.9956599682361,16.9956599682361,16.9956599682361,525.494224733998,525.494224733998,525.494224733998,525.494224733998,0.483100608258916,18.5925929723452,2.41131669341655,322.44019904661,0.224401990466103,0.0150197178800225,102.728424130604,15.0415636154347,0.0171998302390372,16.6729449948361,3279.11036008144,1.31014842267997,0.05,0.0,27.153868020628,-0.805730351695197,0.478121304369854,8.20620612553275,101.226452342602,14.6081717008381,1.22548725738255,0.142366666666667,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
2,941.229148898758,24.3954030743191,2.40453988071921,0.144733333333333,17.0173443703606,17.0173443703606,17.0173443703606,17.0173443703606,521.733177069103,521.733177069103,521.733177069103,521.733177069103,0.486648964139228,18.6303264084089,2.42895083115691,323.402264450817,0.234022644508174,0.0162474540091847,102.752727711653,15.023815599435,0.0174585906948553,16.6887598096807,3279.11036008144,1.31014842267997,0.05,0.0,27.1538294872665,-0.546160003919577,0.485169664380803,16.4124122510655,101.127982310734,14.5548313610221,1.22452212417653,0.144733333333333,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
3,956.864379515666,25.0801592219141,2.51309725037092,0.1471,17.0391892603605,17.0391892603605,17.0391892603605,17.0391892603605,517.435253699883,517.435253699883,517.435253699883,517.435253699883,0.490706306484315,18.668047103085,2.44867969296743,324.478611686603,0.244786116866025,0.0176288731808153,102.792477175691,15.0105029811954,0.0177562903743102,16.7044580044672,3279.11036008144,1.31014842267997,0.05,0.0,27.1538069002174,-0.249355032201115,0.493229061606013,24.6186183765982,101.029589857609,14.5014910212062,1.22355757258078,0.1471,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
4,973.064691073705,25.785023179325,2.6274705565623,0.149466666666667,17.0612077379777,17.0612077379777,17.0612077379777,17.0612077379777,513.169847359902,513.169847359902,513.169847359902,513.169847359902,0.494910287333626,18.7057585197678,2.46947630075314,325.61321192451,0.256132119245101,0.0190817367181019,102.839448608269,14.9992639861907,0.0180658712547458,16.7200545045583,3279.11036008144,1.31014842267997,0.05,0.0,27.1538014685444,0.0581774035833717,0.501579737666858,32.824824502131,100.931274936459,14.4481506813902,1.22259360235239,0.149466666666667,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
5,989.420480841349,26.5022349076377,2.74594613025883,0.151833333333333,17.083407371509,17.083407371509,17.083407371509,17.083407371509,509.090108793896,509.090108793896,509.090108793896,509.090108793896,0.49915461477833,18.7434612515389,2.49103631744748,326.789461451488,0.267894614514877,0.0205814766252707,102.891185163062,14.9893925023538,0.0183794030493119,16.735558484956,3279.11036008144,1.31014842267997,0.05,0.0,27.1538135355168,0.368661187189129,0.510010557134716,41.0310306276637,100.833037500535,14.3948103415743,1.22163021324852,0.151833333333333,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
6,1005.81311331381,27.2294987521796,2.86804233889349,0.1542,17.105794122738,17.105794122738,17.105794122738,17.105794122738,505.2310383249,505.2310383249,505.2310383249,505.2310383249,0.503408502904935,18.7811550412333,2.51327488314678,328.002730566967,0.280027305669668,0.0221208301966477,102.946960522773,14.9806791824712,0.0186946049183059,16.7509774175198,3279.11036008144,1.31014842267997,0.05,0.0,27.1538431916187,0.679843643393753,0.518460367687533,49.2372367531965,100.734877503108,14.3414700017583,1.22066740502639,0.1542,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
7,1022.20877453668,27.9661388554252,2.99364798987327,0.156566666666667,17.1283735353599,17.1283735353599,17.1283735353599,17.1283735353599,501.595015408698,501.595015408698,501.595015408698,501.595015408698,0.507663176992269,18.818839376455,2.53617318071971,329.251992664979,0.292519926649791,0.0236976673254481,103.006561630015,14.9730619390148,0.0190108460941829,16.7663182962867,3279.11036008144,1.31014842267997,0.05,0.0,27.1538904545663,0.991082272241102,0.526911739451898,57.4434428787292,100.63679489747,14.2881296619423,1.21970517744329,0.156566666666667,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
8,1038.59802580969,28.71195289437,3.12276169518817,0.158933333333333,17.1511510905431,17.1511510905431,17.1511510905431,17.1511510905431,498.175859286745,498.175859286745,498.175859286745,498.175859286745,0.511916187697614,18.8565136629732,2.55973198230397,330.53728987103,0.305372898710302,0.0253113583361929,103.06992547055,14.9665216682588,0.01932797093773,16.781588003965,3279.11036008144,1.31014842267997,0.05,0.0,27.153955321493,1.30219729316588,0.535359807118395,65.649649004262,100.538789636931,14.2347893221264,1.21874353025652,0.158933333333333,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
9,1054.97833381621,29.4668753269969,3.25541412991654,0.1613,17.1741323116748,17.1741323116748,17.1741323116748,17.1741323116748,494.965463946474,494.965463946474,494.965463946474,494.965463946474,0.516166877625306,18.8941772745854,2.58395778136657,331.858976449108,0.318589764491078,0.0269617060827014,103.13703228309,14.9610515978546,0.0196459586586607,16.7967934198054,3279.11036008144,1.31014842267997,0.05,0.0,27.1540377838598,1.61314001263383,0.543803264853715,73.8558551297947,100.44086167482,14.1814489823104,1.2177824632235,0.1613,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
10,1071.34909929957,30.2308800206551,3.39164521607744,0.163666666666667,17.197322794701,17.197322794701,17.197322794701,17.197322794701,491.955578135112,491.955578135112,491.955578135112,491.955578135112,0.520415091268238,18.9318295672991,2.60885871883823,333.217496543855,0.33217496543855,0.0286486369379656,103.207874658283,14.9566484195462,0.0199648262770985,16.811941450756,3279.11036008144,1.31014842267997,0.05,0.0,27.1541378316584,1.92389845284488,0.552241803762664,82.0620612553275,100.343010964486,14.1281086424945,1.21682197610166,0.163666666666667,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
11,1087.71026420159,31.0039525483972,3.53149754180523,0.166033333333333,17.2207282167551,17.2207282167551,17.2207282167551,17.2207282167551,489.138256216326,489.138256216326,489.138256216326,489.138256216326,0.524660813560313,18.9694698833568,2.63444340668043,334.613319997932,0.346133199979323,0.0303721128208061,103.28244874138,14.9533097657334,0.0202846013779564,16.8270390402326,3279.11036008144,1.31014842267997,0.05,0.0,27.1542554545868,2.23447091082358,0.560675393918347,90.2682673808602,100.245237459299,14.0747683026785,1.21586206864849,0.166033333333333,CLIMB,UNIT-lubricationdegradation-0018,long_loiter-M003,SIMULATED
