t,rpm,torque,power,engine_load,cht_c1,cht_c2,cht_c3,cht_c4,egt_c1,egt_c2,egt_c3,egt_c4,oil_pressure,oil_temperature,fuel_flow,rail_pressure,injection_timing,boost_pressure,map,intake_temperature,air_mass_flow,coolant_temperature,vibration_rms_x,vibration_order_1x,vibration_rms_x_bearing_proxy,vibration_order_1x_bearing_proxy,battery_voltage,battery_current,alternator_power,altitude,ambient_pressure,ambient_temperature,air_density,throttle,engine_state,engine_id,mission_id,data_origin
0,800.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,513.083392715368,513.083392715368,513.083392715368,513.083392715368,0.9,15.0,2.0,300.0,0.0,0.0,101.325,15.0,0.0146339965295248,15.0,,,0.05,0.0,27.16,-3.22639418186235,0.412371134020619,0.0,101.325,15.0,1.22501226599069,0.0,STARTING,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
1,427.208520597737,7.0,0.31316020163419,0.0466666666666667,15.0203471613796,15.0203471613796,15.0203471613796,15.0203471613796,816.138817357454,816.138817357454,816.138817357454,816.138817357454,0.706521222190225,15.043958345564,1.76199330229282,303.042852161628,0.0304285216162775,0.00236425,101.561425,15.0685499777749,0.0078310813435236,15.0208638875318,,,0.05,0.0,27.1595365116735,-10.3017009238005,0.220210577627699,0.0,101.325,15.0,1.22501226599069,0.0466666666666667,STARTING,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
2,535.473769574405,14.0,0.78504554831966,0.0933333333333333,15.0381357363032,15.0381357363032,15.0381357363032,15.0381357363032,816.207253445757,816.207253445757,816.207253445757,816.207253445757,0.762710886409116,15.0804652641115,2.21314189651527,307.627972939138,0.0762797293913839,0.0047284999999999,101.79785,15.1369860660775,0.0098361862067345,15.0390644915101,,,0.05,0.0,27.1589933435983,-8.24708744426565,0.276017406997116,0.0,101.325,15.0,1.22501226599069,0.0933333333333333,STARTING,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
3,741.029062216322,21.0,1.62960802056873,0.14,15.0625988635575,15.0625988635575,15.0625988635575,15.0625988635575,816.275576097654,816.275576097654,816.275576097654,816.275576097654,0.869394083290271,15.1290498352036,3.06909875302185,315.834247973138,0.158342479731375,0.00709275,102.034275,15.2053087179747,0.0136404389023193,15.0640682033909,1136.41213106726,0.0716019347131734,0.05,0.0,27.1586358636667,-4.34580945751485,0.381973743410475,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
4,839.47612656214,21.7368876958266,1.91088402407465,0.14,15.0863467170829,15.0863467170829,15.0863467170829,15.0863467170829,563.979981987836,563.979981987836,563.979981987836,563.979981987836,0.920488109685751,15.1743987290842,2.3403284446877,318.567294161049,0.185672941610492,0.0094260358056135,102.267603580561,15.2726257811571,0.0154843177639309,15.0882750008654,1136.41213106726,0.0716019347131734,0.05,0.0,27.1584555732339,-2.47732596397072,0.432719652867082,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
5,869.078626200415,22.2894676890744,2.02855778794698,0.14,15.1081793327813,15.1081793327813,15.1081793327813,15.1081793327813,549.846100725254,549.846100725254,549.846100725254,549.846100725254,0.935851806998016,15.2151376616904,2.36128614203336,319.710682959809,0.197106829598087,0.0111757285498583,102.442572854986,15.3230337994337,0.0160549625455247,15.1104586303687,1136.41213106726,0.0716019347131734,0.05,0.0,27.1583341962772,-1.91548297199862,0.447978673299183,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
6,878.498929089176,22.4653133429979,2.06672329597717,0.14,15.1301300875066,15.1301300875066,15.1301300875066,15.1301300875066,545.567877994847,545.567877994847,545.567877994847,545.567877994847,0.940740944197282,15.2558876122684,2.36808341901353,320.081521904232,0.200815219042316,0.011732527327477,102.498252732748,15.3390620723066,0.0162369075922214,15.1327059196042,1136.41213106726,0.0716019347131734,0.05,0.0,27.1582318242957,-1.73669260851154,0.452834499530503,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
7,881.432810851717,22.5200791358987,2.07868050548044,0.14,15.1521189005146,15.1521189005146,15.1521189005146,15.1521189005146,544.256104900526,544.256104900526,544.256104900526,544.256104900526,0.942263628832041,15.2965992251888,2.37021299802607,320.197705316409,0.201977053164091,0.0119059380764044,102.51559380764,15.3440526859914,0.0162936075679704,15.154934679318,1136.41213106726,0.0716019347131734,0.05,0.0,27.1581354358645,-1.68101342562464,0.45434680971738,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
8,882.340359085259,22.5370200362582,2.08238608712497,0.14,15.1741198741633,15.1741198741633,15.1741198741633,15.1741198741633,543.852286303266,543.852286303266,543.852286303266,543.852286303266,0.94273464636525,15.3372565164722,2.37087296211696,320.233710968016,0.202337109680159,0.0119595798491832,102.520957984918,15.3455963284197,0.0163111501013589,15.1771186253089,1136.41213106726,0.0716019347131734,0.05,0.0,27.1580409046889,-1.66379386765757,0.454814618085185,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
9,882.620427783828,22.5422479852981,2.08353027700235,0.14,15.1961248184565,15.1961248184565,15.1961248184565,15.1961248184565,543.727854044154,543.727854044154,543.727854044154,543.727854044154,0.942880002019807,15.3778544918246,2.37107674233412,320.244828602452,0.202448286024519,0.011976133659698,102.52261336597,15.346072683657,0.0163165640311446,15.1992497386329,1136.41213106726,0.0716019347131734,0.05,0.0,27.1579469473611,-1.65848385717724,0.454958983393726,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
10,882.706875912613,22.5438616837021,2.08388351326468,0.14,15.2181311080101,15.2181311080101,15.2181311080101,15.2181311080101,543.689463518849,543.689463518849,543.689463518849,543.689463518849,0.942924868598646,15.4183916149726,2.37113965371244,320.248260857632,0.202482608576325,0.01198124328441,102.523124328441,15.346219717968,0.016318235165997,15.2213257375691,1136.41213106726,0.0716019347131734,0.05,0.0,27.1578531671295,-1.65684877365821,0.455003544284852,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
11,882.733554514392,22.5443596842687,2.08399253077287,0.14,15.240137839706,15.240137839706,15.240137839706,15.240137839706,543.677617571082,543.677617571082,543.677617571082,543.677617571082,0.94293871479297,15.4588674248359,2.37115906973065,320.249320137064,0.202493201370643,0.0119828201565162,102.523282015652,15.346265093857,0.0163187508948013,15.2433461137649,1136.41213106726,0.0716019347131734,0.05,0.0,27.157759441556,-1.65634812236129,0.455017296141439,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
12,882.741787277685,22.5445133625168,2.084026173103,0.14,15.2621446440853,15.2621446440853,15.2621446440853,15.2621446440853,543.67396218432,543.67396218432,543.67396218432,543.67396218432,0.942942987597119,15.4992817924407,2.37116506142964,320.249647026102,0.20249647026102,0.0119833067642817,102.523330676428,15.3462790964156,0.0163189100440895,15.2653109060698,1136.41213106726,0.0716019347131734,0.05,0.0,27.1576657328488,-1.65619757635273,0.455021539833858,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
13,882.744327781806,22.5445607852604,2.08403655466212,0.14,15.2841513171513,15.2841513171513,15.2841513171513,15.2841513171513,543.672834203452,543.672834203452,543.672834203452,543.672834203452,0.942944306118757,15.5396346919574,2.37116691038532,320.249747899551,0.202497478995509,0.0119834569239533,102.523345692395,15.3462834173888,0.016318959155138,15.2872203207244,1136.41213106726,0.0716019347131734,0.05,0.0,27.1575720293464,-1.65615507083377,0.455022849372065,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
14,882.745111737686,22.5445754191035,2.08403975823781,0.14,15.3061577066239,15.3061577066239,15.3061577066239,15.3061577066239,543.672486129409,543.672486129409,543.672486129409,543.672486129409,0.942944712991859,15.5799261299879,2.37116748094215,320.249779027412,0.202497790274119,0.0119835032606457,102.523350326065,15.3462847507668,0.0163189743099655,15.3090746140487,1136.41213106726,0.0716019347131734,0.05,0.0,27.15747832745,-1.65614590517798,0.455023253473034,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
15,882.745353652549,22.5445799348476,2.08404074680487,0.14,15.3281636768448,15.3281636768448,15.3281636768448,15.3281636768448,543.672378720079,543.672378720079,543.672378720079,543.672378720079,0.942944838545673,15.6201561237322,2.37116765700595,320.249788632922,0.202497886329218,0.011983517559326,102.523351755933,15.3462851622235,0.0163189789864763,15.3308740562658,1136.41213106726,0.0716019347131734,0.05,0.0,27.1573846260493,-1.65614702770169,0.455023378171417,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
16,882.745428303138,22.5445813283252,2.08404105185898,0.14,15.3501690979409,15.3501690979409,15.3501690979409,15.3501690979409,543.672345575498,543.672345575498,543.672345575498,543.672345575498,0.942944877289329,15.6603246942441,2.37116771133608,320.24979159701,0.202497915970103,0.0119835219716425,102.523352197164,15.3462852891917,0.0163189804295637,15.3526189203517,1136.41213106726,0.0716019347131734,0.05,0.0,27.1572909248015,-1.6561513250139,0.455023416651102,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
17,882.74545134441,22.544581758429,2.08404114601544,0.14,15.3721738424758,15.3721738424758,15.3721738424758,15.3721738424758,543.672335345261,543.672335345261,543.672335345261,543.672335345261,0.942944889247749,15.7004318643424,2.37116772810535,320.249792511891,0.202497925118909,0.0119835233335257,102.523352333353,15.346285328381,0.0163189808749798,15.3743094786091,1136.41213106726,0.0716019347131734,0.05,0.0,27.1571972236009,-1.65615660193632,0.455023428528047,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
18,882.745458451039,22.5445818910861,2.08404117505616,0.14,15.3941777844107,15.3941777844107,15.3941777844107,15.3941777844107,543.672332189946,543.672332189946,543.672332189946,543.672332189946,0.942944892936089,15.7404776579597,2.3711677332775,320.249792794068,0.202497927940679,0.0119835237535718,102.523352375357,15.3462853404682,0.0163189810123596,15.3959460016237,1136.41213106726,0.0716019347131734,0.05,0.0,27.1571035224149,-1.65616218134677,0.455023432191257,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
19,882.745460642668,22.5445819319965,2.08404118401209,0.14,15.4161807987795,15.4161807987795,15.4161807987795,15.4161807987795,543.672331216871,543.672331216871,543.672331216871,543.672331216871,0.942944894073545,15.7804620999342,2.37116773487255,320.249792881089,0.202497928810891,0.0119835238831108,102.523352388311,15.3462853441958,0.0163189810547265,15.4175287579566,1136.41213106726,0.0716019347131734,0.05,0.0,27.1570098212333,-1.65616785408646,0.455023433320963,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
20,882.745461318552,22.544581944613,2.08404118677404,0.14,15.4381827615832,15.4381827615832,15.4381827615832,15.4381827615832,543.672330916781,543.672330916781,543.672330916781,543.672330916781,0.942944894424328,15.8203852159392,2.37116773536446,320.249792907926,0.202497929079259,0.0119835239230595,102.523352392306,15.3462853453454,0.0163189810677922,15.4390580140625,1136.41213106726,0.0716019347131734,0.05,0.0,27.1569161200532,-1.6561735556355,0.455023433669357,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
21,882.745461526987,22.5445819485038,2.08404118762579,0.14,15.4601835497521,15.4601835497521,15.4601835497521,15.4601835497521,543.672330824236,543.672330824236,543.672330824236,543.672330824236,0.942944894532506,15.8602470324538,2.37116773551615,320.249792916202,0.20249792916202,0.0119835239353795,102.523352393538,15.3462853456999,0.0163189810718215,15.4605340342789,1136.41213106726,0.0716019347131734,0.05,0.0,27.1568224188735,-1.6561792660965,0.455023433776797,0.0,101.325,15.0,1.22501226599069,0.14,IDLE,UNIT-healthy-0001,high_throttle_climb_heavy-M001,SIMULATED
