t,rpm,torque,power,engine_load,cht_c1,cht_c2,cht_c3,cht_c4,egt_c1,egt_c2,egt_c3,egt_c4,oil_pressure,oil_temperature,fuel_flow,rail_pressure,injection_timing,boost_pressure,map,intake_temperature,air_mass_flow,coolant_temperature,vibration_rms_x,vibration_order_1x,vibration_rms_x_bearing_proxy,vibration_order_1x_bearing_proxy,battery_voltage,battery_current,alternator_power,altitude,ambient_pressure,ambient_temperature,air_density,throttle,engine_state,engine_id,mission_id,data_origin
0,800.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,606.650960990933,606.650960990933,606.650960990933,606.650960990933,0.9,15.0,2.0,300.0,0.0,0.0,101.325,50.2032243475426,0.0130408042427632,15.0,,,0.05,0.0,27.16,-3.22639418186235,0.412371134020619,0.0,101.325,50.2032243475426,1.09164609432138,0.0,STARTING,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
1,441.988102365436,7.0,0.323994200918581,0.0466666666666667,15.0186336248864,15.0186336248864,15.0186336248864,15.0186336248864,851.350416441233,851.350416441233,851.350416441233,851.350416441233,0.714191825127661,15.0399410412257,1.62448742617887,303.148121790302,0.03148121790302,0.00236425,101.561425,50.2801490615543,0.0072199441163505,15.1856624896773,,,0.05,0.0,27.1595434545394,-10.021195006849,0.22782891874507,0.0,101.325,50.2032243475426,1.09164609432138,0.0466666666666667,STARTING,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
2,567.173568903047,14.0,0.831519881442188,0.0933333333333333,15.0358784166215,15.0358784166215,15.0358784166215,15.0358784166215,851.42721335192,851.42721335192,851.42721335192,851.42721335192,0.779163082260681,15.0746748064375,2.08895204453884,308.079545406726,0.0807954540672572,0.0047284999999999,101.79785,50.3569459722411,0.0092842313090615,15.3681355508631,,,0.05,0.0,27.1590256752154,-7.64543223086425,0.292357509743839,0.0,101.325,50.2032243475426,1.09164609432138,0.0933333333333333,STARTING,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
3,781.12381965463,21.0,1.71778099735969,0.14,15.059906588853,15.059906588853,15.059906588853,15.059906588853,848.698047897244,848.698047897244,848.698047897244,848.698047897244,0.890203262400753,15.1212104993365,2.87222220599087,316.690989448029,0.166909894480294,0.00709275,102.034275,50.4336155880208,0.012813105831676,15.5558122095943,1218.32638472912,0.0142319461361944,0.05,0.0,27.1587076094063,-3.58481181241515,0.402641144151871,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
4,898.687654513496,22.8421695509186,2.14968459654458,0.14,15.0833125685308,15.0833125685308,15.0833125685308,15.0833125685308,632.952962104669,632.952962104669,632.952962104669,632.952962104669,0.951218892692505,15.1639079152343,2.38285882664459,320.88762361015,0.208876236101498,0.0129258071795883,102.617580717959,50.6222329575702,0.0148171923630258,15.7410939196497,1218.32638472912,0.0142319461361944,0.05,0.0,27.1585795322142,-1.35349276749997,0.463241059027575,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
5,934.854434432442,23.5172827760722,2.30228853948933,0.14,15.1073088864878,15.1073088864878,15.1073088864878,15.1073088864878,616.536270351693,616.536270351693,616.536270351693,616.536270351693,0.969989451470437,15.2067329462235,2.41003758888305,322.370414958601,0.223704149586008,0.0150634899151725,102.831348991517,50.6911651705349,0.0154423163228981,15.9252403975014,1218.32638472912,0.0142319461361944,0.05,0.0,27.1585262411195,-0.66705647980572,0.481883729088888,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
6,945.104161340142,23.7086110116826,2.34646675030782,0.14,15.1318259587705,15.1318259587705,15.1318259587705,15.1318259587705,612.139541752972,612.139541752972,612.139541752972,612.139541752972,0.975309059735534,15.2500884772416,2.41790572822982,322.799676926068,0.227996769260679,0.0156693128362106,102.891931283621,50.7106820605137,0.0156198817033918,16.108194833092,1218.32638472912,0.0142319461361944,0.05,0.0,27.1584951345818,-0.472519057558517,0.4871670934743,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
7,947.933780389873,23.7614305672776,2.3587352747301,0.14,15.1567554601492,15.1567554601492,15.1567554601492,15.1567554601492,610.944640769255,610.944640769255,610.944640769255,610.944640769255,0.976777632022344,15.2939241500966,2.42009075242943,322.918885260535,0.229188852605354,0.0158365610071689,102.908656100717,50.7160685985826,0.0156689332152801,16.2898617819133,1218.32638472912,0.0142319461361944,0.05,0.0,27.1584702339902,-0.418813722099291,0.48862565999478,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
8,948.709231958707,23.7759056632292,2.36210290453256,0.14,15.1820635068289,15.1820635068289,15.1820635068289,15.1820635068289,610.618587414532,610.618587414532,610.618587414532,610.618587414532,0.977180091386569,15.3382212214536,2.42069052729725,322.951607169547,0.229516071695472,0.0158823950414592,102.913239504146,50.7175446596464,0.0156823780607139,16.4702224502027,1218.32638472912,0.0142319461361944,0.05,0.0,27.1584470404311,-0.404096106281752,0.489025377298303,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
9,948.921254192621,23.7798634115956,2.36302408360548,0.14,15.2077378689764,15.2077378689764,15.2077378689764,15.2077378689764,610.529543591555,610.529543591555,610.529543591555,610.529543591555,0.97729013092597,15.3829702555891,2.42085458929014,322.960557897381,0.229605578973812,0.0158949268806225,102.914492688062,50.7179482327872,0.0156860542981171,16.6492802292697,1218.32638472912,0.0142319461361944,0.05,0.0,27.1584243141599,-0.400072285664104,0.489134667109598,0.0,101.325,50.2032243475426,1.09164609432138,0.14,IDLE,UNIT-misfire-0064,hot_day_ground_ops-M001,SIMULATED
